prod,busload,desired load,cost1,cost2
12876.876876876879,993.4982289370855,1300,306.5017710629145,12189.88041900271
12892.892892892894,989.1917841303548,1300,310.8082158696452,12214.509324632187
12908.90890890891,984.8787597789233,1300,315.12124022107673,12239.151389351064
12924.924924924926,980.5591661246071,1300,319.44083387539285,12263.806592675712
12940.940940940942,976.2330133818286,1300,323.76698661817136,12288.474914177285
12956.956956956958,971.9003117380107,1300,328.0996882619893,12313.156333480936
12972.972972972973,967.5610713534297,1300,332.4389286465703,12337.850830266114
12988.988988988991,963.2153023614483,1300,336.78469763855173,12362.558384266094
13005.005005005007,958.8630148687971,1300,341.1369851312029,12387.278975267413
13021.021021021023,954.5042189550659,1300,345.4957810449341,12412.01258311089
13037.037037037038,950.1389246734398,1300,349.86107532656024,12436.759187690159
13053.053053053054,945.767142050614,1300,354.232857949386,12461.518768951826
13069.06906906907,941.388881086652,1300,358.61111891334804,12486.291306895766
13085.085085085086,937.0041517553891,1300,362.9958482446109,12511.076781574307
13101.101101101101,932.6129640044201,1300,367.38703599557994,12535.875173092263
13117.117117117119,928.2153277551679,1300,371.7846722448321,12560.686461606783
13133.133133133135,923.8112529028513,1300,376.18874709714873,12585.510627327432
13149.14914914915,919.4007493170484,1300,380.5992506829516,12610.347650515054
13165.165165165166,914.9838268411659,1300,385.01617315883414,12635.197511482835
13181.181181181182,910.5604952929971,1300,389.4395047070029,12660.060190595188
13197.197197197198,906.1307644644221,1300,393.8692355355779,12684.935668268354
13213.213213213214,901.6946441223008,1300,398.3053558776992,12709.823924968612
